query_1 doc_1	1
query_18	doc_3	0
query_18	doc_4	0
query_18	doc_5	0
query_18	doc_6	0
query_18	doc_7	0
query_18	doc_8	1
query_18	doc_9	2
query_18	doc_10	0
query_19	doc_1	2
query_19	doc_2	2
query_19	doc_3	0
query_19	doc_4	0
query_19	doc_5	2
query_19	doc_6	1
query_19	doc_7	0
query_19	doc_8	2
query_19	doc_9	2
query_19	doc_10	2
query_20	doc_1	0
query_20	doc_2	0
query_20	doc_3	2
query_20	doc_4	1
query_20	doc_5	1
query_20	doc_6	2
query_20	doc_7	2
query_20	doc_8	0
query_20	doc_9	0
query_20	doc_10	0
query_21	doc_1	1
query_21	doc_2	1
query_21	doc_3	2
query_21	doc_4	1
query_21	doc_5	1
query_21	doc_6	0
query_21	doc_7	1
query_21	doc_8	2
query_21	doc_9	1
query_21	doc_10	0
query_22	doc_1	2
query_22	doc_2	2
query_22	doc_3	0
query_22	doc_4	1
query_22	doc_5	1
query_22	doc_6	2
query_22	doc_7	1
query_22	doc_8	0
query_22	doc_9	1
query_22	doc_10	2
query_23	doc_1	1
query_23	doc_2	1
query_23	doc_3	1
query_23	doc_4	2
query_23	doc_5	0
query_23	doc_6	0
query_23	doc_7	0
query_23	doc_8	0
query_23	doc_9	1
query_23	doc_10	1
query_24	doc_1	2
query_24	doc_2	2
query_24	doc_3	0
query_24	doc_4	0
query_24	doc_5	2
query_24	doc_6	2
query_24	doc_7	2
query_24	doc_8	1
query_24	doc_9	1
query_24	doc_10	0
query_25	doc_1	2
query_25	doc_2	0
query_25	doc_3	1
query_25	doc_4	1
query_25	doc_5	1
query_25	doc_6	2
query_25	doc_7	1
query_25	doc_8	0
query_25	doc_9	2
query_25	doc_10	0
query_26	doc_1	2
query_26	doc_2	2
query_26	doc_3	0
query_26	doc_4	0
query_26	doc_5	0
query_26	doc_6	1
query_26	doc_7	0
query_26	doc_8	2
query_26	doc_9	1
query_26	doc_10	0
query_27	doc_1	2
query_27	doc_2	2
query_27	doc_3	2
query_27	doc_4	1
query_27	doc_5	0
query_27	doc_6	0
query_27	doc_7	0
query_27	doc_8	0
query_27	doc_9	2
query_27	doc_10	0
query_28	doc_1	0
query_28	doc_2	2
query_28	doc_3	2
query_28	doc_4	2
query_28	doc_5	2
query_28	doc_6	1
query_28	doc_7	2
query_28	doc_8	0
query_28	doc_9	1
query_28	doc_10	1
query_29	doc_1	0
query_29	doc_2	0
query_29	doc_3	2
query_29	doc_4	1
query_29	doc_5	1
query_29	doc_6	1
query_29	doc_7	1
query_29	doc_8	0
query_29	doc_9	0
query_29	doc_10	2
query_30	doc_1	1
query_30	doc_2	0
query_30	doc_3	1
query_30	doc_4	2
query_30	doc_5	2
query_30	doc_6	1
query_30	doc_7	1
query_30	doc_8	2
query_30	doc_9	1
query_30	doc_10	2
query_31	doc_1	2
query_31	doc_2	2
query_31	doc_3	1
query_31	doc_4	2
query_31	doc_5	1
query_31	doc_6	0
query_31	doc_7	1
query_31	doc_8	0
query_31	doc_9	0
query_31	doc_10	0
query_32	doc_1	0
query_32	doc_2	2
query_32	doc_3	1
query_32	doc_4	0
query_32	doc_5	0
query_32	doc_6	0
query_32	doc_7	0
query_32	doc_8	1
query_32	doc_9	2
query_32	doc_10	2
query_33	doc_1	1
query_33	doc_2	2
query_33	doc_3	2
query_33	doc_4	2
query_33	doc_5	2
query_33	doc_6	2
query_33	doc_7	2
query_33	doc_8	2
query_33	doc_9	0
query_33	doc_10	1
query_34	doc_1	0
query_34	doc_2	0
query_34	doc_3	1
query_34	doc_4	2
query_34	doc_5	1
query_34	doc_6	1
query_34	doc_7	0
query_34	doc_8	2
query_34	doc_9	2
query_34	doc_10	0
query_35	doc_1	0
query_35	doc_2	2
query_35	doc_3	0
query_35	doc_4	1
query_35	doc_5	1
query_35	doc_6	0
query_35	doc_7	2
query_35	doc_8	2
query_35	doc_9	2
query_35	doc_10	2
query_36	doc_1	1
query_36	doc_2	1
query_36	doc_3	2
query_36	doc_4	2
query_36	doc_5	1
query_36	doc_6	0
query_36	doc_7	2
query_36	doc_8	0
query_36	doc_9	2
query_36	doc_10	2
query_37	doc_1	0
query_37	doc_2	1
query_37	doc_3	0
query_37	doc_4	2
query_37	doc_5	1
query_37	doc_6	1
query_37	doc_7	0
query_37	doc_8	2
query_37	doc_9	0
query_37	doc_10	1
query_38	doc_1	2
query_38	doc_2	0
query_38	doc_3	1
query_38	doc_4	1
query_38	doc_5	1
query_38	doc_6	2
query_38	doc_7	1
query_38	doc_8	2
query_38	doc_9	0
query_38	doc_10	1
query_39	doc_1	1
query_39	doc_2	0
query_39	doc_3	1
query_39	doc_4	0
query_39	doc_5	2
query_39	doc_6	0
query_39	doc_7	0
query_39	doc_8	2
query_39	doc_9	1
query_39	doc_10	1
query_40	doc_1	1
query_40	doc_2	1
query_40	doc_3	1
query_40	doc_4	1
query_40	doc_5	2
query_40	doc_6	2
query_40	doc_7	2
query_40	doc_8	2
query_40	doc_9	2
query_40	doc_10	1
query_41	doc_1	1
query_41	doc_2	0
query_41	doc_3	1
query_41	doc_4	0
query_41	doc_5	0
query_41	doc_6	2
query_41	doc_7	2
query_41	doc_8	1
query_41	doc_9	0
query_41	doc_10	1
query_42	doc_1	2
query_42	doc_2	1
query_42	doc_3	1
query_42	doc_4	0
query_42	doc_5	0
query_42	doc_6	1
query_42	doc_7	1
query_42	doc_8	0
query_42	doc_9	1
query_42	doc_10	2
query_43	doc_1	2
query_43	doc_2	1
query_43	doc_3	1
query_43	doc_4	2
query_43	doc_5	1
query_43	doc_6	1
query_43	doc_7	0
query_43	doc_8	1
query_43	doc_9	1
query_43	doc_10	1
query_44	doc_1	0
query_44	doc_2	2
query_44	doc_3	1
query_44	doc_4	0
query_44	doc_5	2
query_44	doc_6	1
query_44	doc_7	2
query_44	doc_8	1
query_44	doc_9	1
query_44	doc_10	2
query_45	doc_1	1
query_45	doc_2	0
query_45	doc_3	1
query_45	doc_4	0
query_45	doc_5	2
query_45	doc_6	2
query_45	doc_7	0
query_45	doc_8	1
query_45	doc_9	0
query_45	doc_10	1
query_46	doc_1	0
query_46	doc_2	2
query_46	doc_3	0
query_46	doc_4	1
query_46	doc_5	2
query_46	doc_6	0
query_46	doc_7	0
query_46	doc_8	1
query_46	doc_9	0
query_46	doc_10	0
query_47	doc_1	2
query_47	doc_2	1
query_47	doc_3	0
query_47	doc_4	2
query_47	doc_5	2
query_47	doc_6	1
query_47	doc_7	2
query_47	doc_8	1
query_47	doc_9	0
query_47	doc_10	0
query_48	doc_1	2
query_48	doc_2	1
query_48	doc_3	1
query_48	doc_4	0
query_48	doc_5	2
query_48	doc_6	1
query_48	doc_7	0
query_48	doc_8	1
query_48	doc_9	0
query_48	doc_10	1
query_49	doc_1	1
query_49	doc_2	2
query_49	doc_3	2
query_49	doc_4	0
query_49	doc_5	0
query_49	doc_6	0
query_49	doc_7	2
query_49	doc_8	2
query_49	doc_9	1
query_49	doc_10	0
query_50	doc_1	2
query_50	doc_2	2
query_50	doc_3	2
query_50	doc_4	1
query_50	doc_5	1
query_50	doc_6	2
query_50	doc_7	2
query_50	doc_8	2
query_50	doc_9	1
query_50	doc_10	1
